date,cl
2020-05-05,5.4
2020-05-06,1.8
2020-05-07,6.8
2020-05-08,7.4
2020-05-09,10
2020-05-10,9
2020-05-11,8.1
2020-05-12,3.3
2020-05-13,0.6
2020-05-14,8.3
2020-05-15,10
2020-05-16,9.5
2020-05-17,7.1
2020-05-18,8.5
2020-05-19,7.6
2020-05-20,6
2020-05-21,4.8
2020-05-22,8.6
2020-05-23,7.4
2020-05-24,8.4
2020-05-25,8.1
2020-05-26,7.8
2020-05-27,1.5
2020-05-28,3.9
2020-05-29,1.3
2020-05-30,1.1
2020-05-31,8.5
2020-06-01,3.8
2020-06-02,9.3
2020-06-03,5.8
2020-06-04,8.4
2020-06-05,5.5
2020-06-06,2.3
2020-06-07,3.3
2020-06-08,3
2020-06-09,3
2020-06-10,9
2020-06-11,5.8
2020-06-12,8.1
2020-06-13,5.5
2020-06-14,4.4
2020-06-15,6
2020-06-16,6
2020-06-17,7.4
2020-06-18,9
2020-06-19,6.3
2020-06-20,0.9
2020-06-21,0.1
2020-06-22,1.6
2020-06-23,7.5
2020-06-24,10
2020-06-25,10
2020-06-26,8.3
2020-06-27,6.1
2020-06-28,1.9
2020-06-29,8.6
2020-06-30,10
2020-07-01,7.6
2020-07-02,6.6
2020-07-03,6.8
2020-07-04,7.6
2020-07-05,5.3
2020-07-06,7.4
2020-07-07,6.3
2020-07-08,2.9
2020-07-09,4.8
2020-07-10,6.6
2020-07-11,7.3
2020-07-12,9.1
2020-07-13,10
2020-07-14,9.9
2020-07-15,5.1
2020-07-16,4.1
2020-07-17,4.5
2020-07-18,5.4
2020-07-19,9.9
2020-07-20,9.6
2020-07-21,6.3
2020-07-22,9.8
2020-07-23,10
2020-07-24,9.3
2020-07-25,7.8
2020-07-26,7.4
2020-07-27,10
2020-07-28,9.9
2020-07-29,10
2020-07-30,8.3
2020-07-31,6.9
2020-08-01,9.8
2020-08-02,10
2020-08-03,10
2020-08-04,9.6
2020-08-05,9.8
2020-08-06,8
2020-08-07,9
2020-08-08,9.1
2020-08-09,9.8
2020-08-10,9.9
2020-08-11,9.5
2020-08-12,8.3
2020-08-13,8.5
2020-08-14,9.3
2020-08-15,9.3
2020-08-16,8.3
2020-08-17,4.4
2020-08-18,2.8
2020-08-19,2.3
2020-08-20,6.4
2020-08-21,8.8
2020-08-22,9
2020-08-23,6
2020-08-24,5.9
2020-08-25,5.9
2020-08-26,6.4
2020-08-27,9.9
2020-08-28,8.9
2020-08-29,8.4
2020-08-30,7.9
2020-08-31,8.8
2020-09-01,8.8
2020-09-02,9.6
2020-09-03,7.4
2020-09-04,1.6
2020-09-05,8
2020-09-06,9.4
2020-09-07,10
2020-09-08,5.4
2020-09-09,7.6
2020-09-10,6.3
2020-09-11,7.6
2020-09-12,9.5
2020-09-13,2.8
2020-09-14,4.6
2020-09-15,7.5
2020-09-16,9.4
2020-09-17,8.4
2020-09-18,3.1
2020-09-19,1.5
2020-09-20,0
2020-09-21,4.5
2020-09-22,3.1
2020-09-23,7.6
2020-09-24,6.6
2020-09-25,4.9
2020-09-26,4
2020-09-27,1.1
2020-09-28,1.1
2020-09-29,6.8
2020-09-30,7.1
2020-10-01,5.5
2020-10-02,9.1
2020-10-03,8
2020-10-04,7.1
2020-10-05,2.3
2020-10-06,2.5
2020-10-07,3.8
2020-10-08,0.1
2020-10-09,4.6
2020-10-10,5.3
2020-10-11,5.8
2020-10-12,2.6
2020-10-13,3.5
2020-10-14,6.6
2020-10-15,6.6
2020-10-16,7.6
2020-10-17,1
2020-10-18,0.5
2020-10-19,0
2020-10-20,0.4
2020-10-21,7.3
2020-10-22,4.6
2020-10-23,0
2020-10-24,0
2020-10-25,2.8
2020-10-26,1.6
2020-10-27,1.1
2020-10-28,3.8
2020-10-29,3.1
2020-10-30,0.4
2020-10-31,6.1
2020-11-01,8.6
2020-11-02,3
2020-11-03,1.5
2020-11-04,0
2020-11-05,5.3
2020-11-06,8.9
2020-11-07,3.6
2020-11-08,0
2020-11-09,2.4
2020-11-10,0
2020-11-11,0
2020-11-12,2
2020-11-13,3
2020-11-14,1.3
2020-11-15,3.4
